Type-1								Type-2						
embedding style	word2vec		doc2vec	bag of words				embedding style	word2vec		doc2vec	bag of words		
classifier	averaging	summing		unigram	bigram	uni+bi		classifier	averaging	summing		unigram	bigram	uni+bi
SVM	47.6	49	51.2	65	66.4	68.2		SVM	52.6	51.6	51	64.8	64.6	67.6
Logistic	48.8	48.4	51.2	68.8	65.6	67.2		Logistic	52	52.2	51.6	68.2	63.6	67.2
Naïve-Bayes'	47.8	49	47.8	66.2	63.4	67.2		Naïve-Bayes'	53.2	50.8	51.2	63.8	61.6	63.8
cosine	62.2	62.2	71.6	70.4	61.6	66.2		cosine	69.8	69.8	72.4	70	60.2	66
														
														
														
Type-3														
embedding style	word2vec		doc2vec	bag of words										
classifier	averaging	summing		unigram	bigram	uni+bi								
SVM	51.2	48.2	47.4	67.2	66.4	70.4								
Logistic	50	48.4	47.2	67.6	66.4	70.2								
Naïve-Bayes'	51.6	49	48.4	63	62	65								
cosine	70.8	70.8	72	69.4	59.8	65								
